ESTADO_CIVIL;TIME_PERIOD;CERTIFIC_DISCAPAC;REF_AREA;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;NIVEL_ESTUDIOS_TER;RELACTIVIDAD;SITUAC_PROFES;PERCEP_PRES_INVAL;SITUACION_DEPEND;COMP_HOG_ACTIVIDAD;AMBITO_ESTUD_HOG;PRESENC_DISCAPAC
TOTAL;2015;5732;ES61;POP;5188590.6318500005;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2015;5733;ES61;POP;352296.61819;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2014;5732;ES61;POP;5209621.094819999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2014;5733;ES61;POP;337517.41017;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2020;5732;ES61;PC;42.35418127326246;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2020;5733;ES61;PC;37.242975099509714;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2019;5732;ES61;PC;41.464284155981154;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2019;5733;ES61;PC;39.17029058896415;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2018;5732;ES61;PC;40.62488113560684;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2018;5733;ES61;PC;38.13270017406689;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2017;5732;ES61;PC;40.01265172942341;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2017;5733;ES61;PC;38.689923965898025;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2016;5732;ES61;PC;39.388004600699404;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2016;5733;ES61;PC;37.89331737634466;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2015;5732;ES61;PC;39.13771473306524;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2015;5733;ES61;PC;35.38503631697322;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2014;5732;ES61;PC;39.48779331735792;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2014;5733;ES61;PC;35.08036962311466;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2020;5732;ES61;PC;49.83047322717945;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
