TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;_T;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;33.532305997607494;M
2015;_T;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;62.03445286043811;M
2015;_T;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;40.81251727266834;M
2015;_T;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;35.23679639747523;M
2015;_T;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;28.393898209362572;M
2015;_T;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;17.230722286015645;M
2015;_T;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;27.633509974111337;M
2015;_T;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;56.481355203569606;M
2015;_T;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;48.25515581870494;M
2015;_T;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;35.67674686442779;M
2015;_T;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;23.871396416016427;M
2015;_T;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;13.357204783007814;M
2015;_T;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;29.26349048140784;M
2015;_T;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;67.29045081883862;M
2015;_T;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;38.84596010406597;M
2015;_T;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;31.482412834254685;M
2015;_T;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;16.107502435271652;M
2015;_T;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;10.517247187505351;M
2015;_T;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;26.277310903046597;M
2015;_T;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;62.02207127746014;M
2015;_T;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;44.892956890820976;M
2015;_T;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;38.48214993452888;M
2015;_T;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;28.83688792644124;M
2015;_T;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;19.556558144531923;M
2015;_T;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;31.53986317304683;M
