TEMPORAL;CNAE09;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2018;8346;_T;ES61;PARADOS;38.20131;M
2018;8456;M;ES61;PARADOS;149.62344;M
2018;8456;F;ES61;PARADOS;207.84533;M
2018;8456;_T;ES61;PARADOS;357.46877;M
2018;6950;M;ES61;PARADOS;44.5170875;M
2018;6950;F;ES61;PARADOS;48.893145;M
2018;6950;_T;ES61;PARADOS;93.4102325;M
2018;6949;M;ES61;PARADOS;427.830475;M
2018;6949;F;ES61;PARADOS;476.80693;M
2018;6949;_T;ES61;PARADOS;904.637405;M
2019;6980;M;ES61;PARADOS;66.6108375;M
2019;6980;F;ES61;PARADOS;46.3368075;M
2019;6980;_T;ES61;PARADOS;112.947645;M
2019;7057;M;ES61;PARADOS;18.545155;M
2019;7057;F;ES61;PARADOS;7.68882;M
2019;7057;_T;ES61;PARADOS;26.233975;M
2019;7662;M;ES61;PARADOS;35.94767;M
2019;7662;F;ES61;PARADOS;0.8221775;M
2019;7662;_T;ES61;PARADOS;36.7698475;M
2019;7715;M;ES61;PARADOS;110.5762575;M
2019;7715;F;ES61;PARADOS;172.8819875;M
2019;7715;_T;ES61;PARADOS;283.458245;M
2019;7716;M;ES61;PARADOS;51.901945;M
2019;7716;F;ES61;PARADOS;75.979535;M
2019;7716;_T;ES61;PARADOS;127.88148;M
2019;7889;M;ES61;PARADOS;10.6754475;M
2019;7889;F;ES61;PARADOS;4.31067;M
2019;7889;_T;ES61;PARADOS;14.9861175;M
2019;8032;M;ES61;PARADOS;12.2135025;M
2019;8032;F;ES61;PARADOS;20.5346525;M
2019;8032;_T;ES61;PARADOS;32.748155;M
2019;8256;M;ES61;PARADOS;25.3364925;M
2019;8256;F;ES61;PARADOS;45.892465;M
2019;8256;_T;ES61;PARADOS;71.2289575;M
2019;8346;M;ES61;PARADOS;10.44887;M
2019;8346;F;ES61;PARADOS;26.164665;M
2019;8346;_T;ES61;PARADOS;36.613535;M
2019;8456;M;ES61;PARADOS;118.224;M
2019;8456;F;ES61;PARADOS;180.5480425;M
2019;8456;_T;ES61;PARADOS;298.7720425;M
2019;6950;M;ES61;PARADOS;35.8913675;M
2019;6950;F;ES61;PARADOS;44.57384;M
2019;6950;_T;ES61;PARADOS;80.4652075;M
2019;6949;M;ES61;PARADOS;385.7952875;M
2019;6949;F;ES61;PARADOS;452.851675;M
2019;6949;_T;ES61;PARADOS;838.6469625;M
2020;6980;M;ES61;PARADOS;65.175325;M
2020;6980;F;ES61;PARADOS;42.2793225;M
2020;6980;_T;ES61;PARADOS;107.4546475;M
2020;7057;M;ES61;PARADOS;18.8162625;M
2020;7057;F;ES61;PARADOS;9.3384475;M
2020;7057;_T;ES61;PARADOS;28.15471;M
2020;7662;M;ES61;PARADOS;34.7701125;M
2020;7662;F;ES61;PARADOS;1.48145;M
2020;7662;_T;ES61;PARADOS;36.2515625;M
2020;7715;M;ES61;PARADOS;139.6241625;M
2020;7715;F;ES61;PARADOS;195.389715;M
2020;7715;_T;ES61;PARADOS;335.0138775;M
2020;7716;M;ES61;PARADOS;68.7528275;M
2020;7716;F;ES61;PARADOS;87.2412875;M
2020;7716;_T;ES61;PARADOS;155.994115;M
2020;7889;M;ES61;PARADOS;12.90641;M
2020;7889;F;ES61;PARADOS;4.6652475;M
2020;7889;_T;ES61;PARADOS;17.5716575;M
2020;8032;M;ES61;PARADOS;18.01368;M
2020;8032;F;ES61;PARADOS;21.6830125;M
2020;8032;_T;ES61;PARADOS;39.6966925;M
2020;8256;M;ES61;PARADOS;24.2223025;M
2020;8256;F;ES61;PARADOS;47.317075;M
2020;8256;_T;ES61;PARADOS;71.5393775;M
2020;8346;M;ES61;PARADOS;15.7289425;M
2020;8346;F;ES61;PARADOS;34.4830925;M
2020;8346;_T;ES61;PARADOS;50.212035;M
2020;8456;M;ES61;PARADOS;113.0384775;M
2020;8456;F;ES61;PARADOS;172.6660225;M
2020;8456;_T;ES61;PARADOS;285.7045;M
2020;6950;M;ES61;PARADOS;31.8491525;M
2020;6950;F;ES61;PARADOS;41.7519325;M
2020;6950;_T;ES61;PARADOS;73.601085;M
2020;6949;M;ES61;PARADOS;403.2734925;M
2020;6949;F;ES61;PARADOS;462.90689;M
2020;6949;_T;ES61;PARADOS;866.1803825;M
2021;6980;M;ES61;PARADOS;64.5291475;M
2021;6980;F;ES61;PARADOS;40.903295;M
2021;6980;_T;ES61;PARADOS;105.4324425;M
2021;7057;M;ES61;PARADOS;19.3649475;M
2021;7057;F;ES61;PARADOS;4.672315;M
2021;7057;_T;ES61;PARADOS;24.0372625;M
2021;7662;M;ES61;PARADOS;35.4997925;M
2021;7662;F;ES61;PARADOS;0.9619725;M
2021;7662;_T;ES61;PARADOS;36.461765;M
2021;7715;M;ES61;PARADOS;108.393145;M
2021;7715;F;ES61;PARADOS;159.648005;M
2021;7715;_T;ES61;PARADOS;268.04115;M
2021;7716;M;ES61;PARADOS;42.457025;M
2021;7716;F;ES61;PARADOS;59.2242925;M
2021;7716;_T;ES61;PARADOS;101.6813175;M
2021;7889;M;ES61;PARADOS;10.8712125;M
2021;7889;F;ES61;PARADOS;3.916095;M
2021;7889;_T;ES61;PARADOS;14.7873075;M
2021;8032;M;ES61;PARADOS;16.05846;M
2021;8032;F;ES61;PARADOS;20.17868;M
2021;8032;_T;ES61;PARADOS;36.23714;M
