TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;_T;Y15-29;48940;46593;ES61;POP;499.7406725;M
2006;_T;Y15-29;48946;46593;ES61;POP;453.50396;M
2006;_T;Y25-34;48952;46593;ES61;POP;1345.8632225;M
2006;_T;Y25-34;48934;46593;ES61;POP;85.7666275;M
2006;_T;Y25-34;48936;46593;ES61;POP;949.7928275;M
2006;_T;Y25-34;48937;46593;ES61;POP;14.32977;M
2006;_T;Y25-34;48939;46593;ES61;POP;149.8795925;M
2006;_T;Y25-34;48940;46593;ES61;POP;1099.67242;M
2006;_T;Y25-34;48946;46593;ES61;POP;246.1908025;M
2006;_T;Y30-44;48952;46593;ES61;POP;1283.15278;M
2006;_T;Y30-44;48934;46593;ES61;POP;79.2836275;M
2006;_T;Y30-44;48936;46593;ES61;POP;889.3816225;M
2006;_T;Y30-44;48937;46593;ES61;POP;3.2998525;M
2006;_T;Y30-44;48939;46593;ES61;POP;101.48602;M
2006;_T;Y30-44;48940;46593;ES61;POP;990.8676425;M
2006;_T;Y30-44;48946;46593;ES61;POP;292.2851375;M
2006;_T;Y45-54;48952;46593;ES61;POP;998.6784475;M
2006;_T;Y45-54;48934;46593;ES61;POP;40.60259;M
2006;_T;Y45-54;48936;46593;ES61;POP;623.2790625;M
2006;_T;Y45-54;48937;46593;ES61;POP;1.654145;M
2006;_T;Y45-54;48939;46593;ES61;POP;62.91794;M
2006;_T;Y45-54;48940;46593;ES61;POP;686.1970025;M
2006;_T;Y45-54;48946;46593;ES61;POP;312.481445;M
2006;_T;Y45-64;48952;46593;ES61;POP;764.48048;M
2006;_T;Y45-64;48934;46593;ES61;POP;9.1500725;M
2006;_T;Y45-64;48936;46593;ES61;POP;269.357975;M
2006;_T;Y45-64;48937;46593;ES61;POP;1.311635;M
2006;_T;Y45-64;48939;46593;ES61;POP;30.1607025;M
2006;_T;Y45-64;48940;46593;ES61;POP;299.5186775;M
2006;_T;Y45-64;48946;46593;ES61;POP;464.9618025;M
2006;_T;Y65-100;48952;46593;ES61;POP;1126.895825;M
2006;_T;Y65-100;48934;46593;ES61;POP;1.0642725;M
2006;_T;Y65-100;48936;46593;ES61;POP;15.2496425;M
2006;_T;Y65-100;48939;46593;ES61;POP;0.6120475;M
2006;_T;Y65-100;48940;46593;ES61;POP;15.86169;M
2006;_T;Y65-100;48946;46593;ES61;POP;1111.034135;M
2006;_T;TOTAL;48952;46593;ES61;POP;6472.3153875;M
2006;_T;TOTAL;48934;46593;ES61;POP;264.858245;M
2006;_T;TOTAL;48936;46593;ES61;POP;3138.5020625;M
2006;_T;TOTAL;48937;46593;ES61;POP;54.05311;M
