TEMPORAL;TERRITORIO;SEXO;EPA_RELACTIVIDAD;EPA_NIVEL;INDICATOR;OBS_VALUE;FREQ
2006;ES615;M;48936;46593;POP;116.705;M
2006;ES615;M;48934;46593;POP;8.91394;M
2006;ES615;M;48939;46593;POP;14.6210625;M
2006;ES615;M;48937;46593;POP;1.3366475;M
2006;ES615;M;48946;46593;POP;68.2903425;M
2006;ES615;F;48952;46593;POP;204.0599175;M
2006;ES615;F;48940;46593;POP;81.6935675;M
2006;ES615;F;48936;46593;POP;66.286615;M
2006;ES615;F;48934;46593;POP;11.312645;M
2006;ES615;F;48939;46593;POP;15.4069525;M
2006;ES615;F;48937;46593;POP;2.052195;M
2006;ES615;F;48946;46593;POP;122.36635;M
2006;ES615;_T;48952;46593;POP;403.6763225;M
2006;ES615;_T;48940;46593;POP;213.01963;M
2006;ES615;_T;48936;46593;POP;182.991615;M
2006;ES615;_T;48934;46593;POP;20.226585;M
2006;ES615;_T;48939;46593;POP;30.028015;M
2006;ES615;_T;48937;46593;POP;3.3888425;M
2006;ES615;_T;48946;46593;POP;190.6566925;M
2006;ES616;M;48952;46593;POP;263.9352975;M
2006;ES616;M;48940;46593;POP;166.9618875;M
2006;ES616;M;48936;46593;POP;152.6529925;M
2006;ES616;M;48934;46593;POP;7.9066925;M
2006;ES616;M;48939;46593;POP;14.308895;M
2006;ES616;M;48937;46593;POP;1.2446025;M
2006;ES616;M;48946;46593;POP;96.97341;M
2006;ES616;F;48952;46593;POP;272.2687625;M
2006;ES616;F;48940;46593;POP;95.903115;M
2006;ES616;F;48936;46593;POP;74.3450775;M
2006;ES616;F;48934;46593;POP;7.119525;M
2006;ES616;F;48939;46593;POP;21.5580375;M
2006;ES616;F;48937;46593;POP;3.83684;M
2006;ES616;F;48946;46593;POP;176.3656475;M
2006;ES616;_T;48952;46593;POP;536.20406;M
2006;ES616;_T;48940;46593;POP;262.8650025;M
2006;ES616;_T;48936;46593;POP;226.99807;M
2006;ES616;_T;48934;46593;POP;15.0262175;M
2006;ES616;_T;48939;46593;POP;35.8669325;M
2006;ES616;_T;48937;46593;POP;5.0814425;M
2006;ES616;_T;48946;46593;POP;273.3390575;M
2006;ES617;M;48952;46593;POP;594.72144;M
2006;ES617;M;48940;46593;POP;403.95431;M
2006;ES617;M;48936;46593;POP;371.31043;M
2006;ES617;M;48934;46593;POP;20.451465;M
2006;ES617;M;48939;46593;POP;32.64388;M
2006;ES617;M;48937;46593;POP;2.630055;M
2006;ES617;M;48946;46593;POP;190.76713;M
2006;ES617;F;48952;46593;POP;617.56954;M
2006;ES617;F;48940;46593;POP;276.739225;M
2006;ES617;F;48936;46593;POP;234.4320975;M
2006;ES617;F;48934;46593;POP;28.2778825;M
2006;ES617;F;48939;46593;POP;42.3071275;M
2006;ES617;F;48937;46593;POP;5.9296025;M
2006;ES617;F;48946;46593;POP;340.830315;M
2006;ES617;_T;48952;46593;POP;1212.29098;M
2006;ES617;_T;48940;46593;POP;680.693535;M
2006;ES617;_T;48936;46593;POP;605.7425275;M
2006;ES617;_T;48934;46593;POP;48.7293475;M
2006;ES617;_T;48939;46593;POP;74.9510075;M
2006;ES617;_T;48937;46593;POP;8.5596575;M
2006;ES617;_T;48946;46593;POP;531.597445;M
2006;ES618;M;48952;46593;POP;720.15675;M
2006;ES618;M;48940;46593;POP;498.677615;M
2006;ES618;M;48936;46593;POP;450.3211375;M
2006;ES618;M;48934;46593;POP;32.38262;M
2006;ES618;M;48939;46593;POP;48.3564775;M
2006;ES618;M;48937;46593;POP;3.3006025;M
2006;ES618;M;48946;46593;POP;221.479135;M
2006;ES618;F;48952;46593;POP;763.42831;M
2006;ES618;F;48940;46593;POP;351.73067;M
2006;ES618;F;48936;46593;POP;290.8821725;M
2006;ES618;F;48934;46593;POP;35.416795;M
2006;ES618;F;48939;46593;POP;60.8484975;M
2006;ES618;F;48937;46593;POP;8.2200675;M
2006;ES618;F;48946;46593;POP;411.69764;M
2006;ES618;_T;48952;46593;POP;1483.58506;M
2006;ES618;_T;48940;46593;POP;850.408285;M
2006;ES618;_T;48936;46593;POP;741.20331;M
2006;ES618;_T;48934;46593;POP;67.799415;M
2006;ES618;_T;48939;46593;POP;109.204975;M
2006;ES618;_T;48937;46593;POP;11.52067;M
2006;ES618;_T;48946;46593;POP;633.176775;M
2006;ES61;M;48952;46593;POP;3180.36383;M
2006;ES61;M;48940;46593;POP;2158.6976475;M
2006;ES61;M;48936;46593;POP;1958.55375;M
2006;ES61;M;48934;46593;POP;119.986525;M
2006;ES61;M;48939;46593;POP;200.1438975;M
2006;ES61;M;48937;46593;POP;17.6905975;M
2006;ES61;M;48946;46593;POP;1021.6661825;M
2006;ES61;F;48952;46593;POP;3291.9515575;M
2006;ES61;F;48940;46593;POP;1433.1604575;M
2006;ES61;F;48936;46593;POP;1179.9483125;M
2006;ES61;F;48934;46593;POP;144.87172;M
2006;ES61;F;48939;46593;POP;253.212145;M
2006;ES61;F;48937;46593;POP;36.3625125;M
2006;ES61;F;48946;46593;POP;1858.7911;M
2006;ES61;_T;48952;46593;POP;6472.3153875;M
2006;ES61;_T;48940;46593;POP;3591.858105;M
2006;ES61;_T;48936;46593;POP;3138.5020625;M
2006;ES61;_T;48934;46593;POP;264.858245;M
2006;ES61;_T;48939;46593;POP;453.3560425;M
2006;ES61;_T;48937;46593;POP;54.05311;M
2006;ES61;_T;48946;46593;POP;2880.4572825;M
2007;ES611;M;48952;46593;POP;270.99416;M
2007;ES611;M;48940;46593;POP;195.264685;M
2007;ES611;M;48936;46593;POP;177.8601375;M
2007;ES611;M;48934;46593;POP;10.2314625;M
2007;ES611;M;48939;46593;POP;17.4045475;M
2007;ES611;M;48937;46593;POP;1.3872725;M
2007;ES611;M;48946;46593;POP;75.729475;M
2007;ES611;F;48952;46593;POP;257.33767;M
2007;ES611;F;48940;46593;POP;129.63129;M
2007;ES611;F;48936;46593;POP;109.8517025;M
2007;ES611;F;48934;46593;POP;12.00922;M
2007;ES611;F;48939;46593;POP;19.7795875;M
2007;ES611;F;48937;46593;POP;3.181265;M
2007;ES611;F;48946;46593;POP;127.70638;M
2007;ES611;_T;48952;46593;POP;528.33183;M
2007;ES611;_T;48940;46593;POP;324.895975;M
2007;ES611;_T;48936;46593;POP;287.71184;M
2007;ES611;_T;48934;46593;POP;22.2406825;M
2007;ES611;_T;48939;46593;POP;37.184135;M
2007;ES611;_T;48937;46593;POP;4.5685375;M
2007;ES611;_T;48946;46593;POP;203.435855;M
2007;ES612;M;48952;46593;POP;480.644505;M
2007;ES612;M;48940;46593;POP;328.2302075;M
2007;ES612;M;48936;46593;POP;291.897085;M
2007;ES612;M;48934;46593;POP;14.2168675;M
2007;ES612;M;48939;46593;POP;36.3331225;M
2007;ES612;M;48937;46593;POP;3.466075;M
2007;ES612;M;48946;46593;POP;152.4142975;M
2007;ES612;F;48952;46593;POP;494.82997;M
2007;ES612;F;48940;46593;POP;212.5053025;M
2007;ES612;F;48936;46593;POP;167.6173075;M
2007;ES612;F;48934;46593;POP;18.27345;M
2007;ES612;F;48939;46593;POP;44.887995;M
2007;ES612;F;48937;46593;POP;6.40481;M
2007;ES612;F;48946;46593;POP;282.3246675;M
2007;ES612;_T;48952;46593;POP;975.474475;M
2007;ES612;_T;48940;46593;POP;540.73551;M
2007;ES612;_T;48936;46593;POP;459.5143925;M
2007;ES612;_T;48934;46593;POP;32.4903175;M
2007;ES612;_T;48939;46593;POP;81.2211175;M
2007;ES612;_T;48937;46593;POP;9.870885;M
2007;ES612;_T;48946;46593;POP;434.738965;M
2007;ES613;M;48952;46593;POP;314.3798025;M
2007;ES613;M;48940;46593;POP;210.473465;M
2007;ES613;M;48936;46593;POP;189.97097;M
2007;ES613;M;48934;46593;POP;9.748735;M
2007;ES613;M;48939;46593;POP;20.502495;M
2007;ES613;M;48937;46593;POP;1.3259075;M
2007;ES613;M;48946;46593;POP;103.9063375;M
2007;ES613;F;48952;46593;POP;332.32714;M
2007;ES613;F;48940;46593;POP;143.2089275;M
2007;ES613;F;48936;46593;POP;114.950025;M
2007;ES613;F;48934;46593;POP;13.45593;M
2007;ES613;F;48939;46593;POP;28.2589025;M
2007;ES613;F;48937;46593;POP;3.73515;M
2007;ES613;F;48946;46593;POP;189.1182125;M
2007;ES613;_T;48952;46593;POP;646.7069425;M
2007;ES613;_T;48940;46593;POP;353.6823925;M
2007;ES613;_T;48936;46593;POP;304.920995;M
2007;ES613;_T;48934;46593;POP;23.204665;M
2007;ES613;_T;48939;46593;POP;48.7613975;M
2007;ES613;_T;48937;46593;POP;5.0610575;M
2007;ES613;_T;48946;46593;POP;293.02455;M
2007;ES614;M;48952;46593;POP;358.4724225;M
2007;ES614;M;48940;46593;POP;234.9019;M
2007;ES614;M;48936;46593;POP;214.03576;M
2007;ES614;M;48934;46593;POP;5.3617525;M
2007;ES614;M;48939;46593;POP;20.86614;M
2007;ES614;M;48937;46593;POP;2.637435;M
2007;ES614;M;48946;46593;POP;123.5705225;M
2007;ES614;F;48952;46593;POP;372.6462475;M
2007;ES614;F;48940;46593;POP;163.5738925;M
2007;ES614;F;48936;46593;POP;137.0250925;M
2007;ES614;F;48934;46593;POP;14.22451;M
2007;ES614;F;48939;46593;POP;26.5488;M
2007;ES614;F;48937;46593;POP;3.761265;M
2007;ES614;F;48946;46593;POP;209.072355;M
2007;ES614;_T;48952;46593;POP;731.11867;M
2007;ES614;_T;48940;46593;POP;398.4757925;M
2007;ES614;_T;48936;46593;POP;351.0608525;M
2007;ES614;_T;48934;46593;POP;19.5862625;M
2007;ES614;_T;48939;46593;POP;47.41494;M
2007;ES614;_T;48937;46593;POP;6.3987;M
2007;ES614;_T;48946;46593;POP;332.6428775;M
2007;ES615;M;48952;46593;POP;202.7522725;M
2007;ES615;M;48940;46593;POP;135.8577125;M
2007;ES615;M;48936;46593;POP;121.525975;M
2007;ES615;M;48934;46593;POP;7.9179375;M
2007;ES615;M;48939;46593;POP;14.3317375;M
2007;ES615;M;48937;46593;POP;1.330195;M
2007;ES615;M;48946;46593;POP;66.89456;M
2007;ES615;F;48952;46593;POP;209.08952;M
2007;ES615;F;48940;46593;POP;95.54973;M
2007;ES615;F;48936;46593;POP;77.43518;M
2007;ES615;F;48934;46593;POP;7.9956125;M
2007;ES615;F;48939;46593;POP;18.11455;M
2007;ES615;F;48937;46593;POP;1.7998075;M
2007;ES615;F;48946;46593;POP;113.53979;M
2007;ES615;_T;48952;46593;POP;411.8417925;M
2007;ES615;_T;48940;46593;POP;231.4074425;M
2007;ES615;_T;48936;46593;POP;198.961155;M
2007;ES615;_T;48934;46593;POP;15.91355;M
2007;ES615;_T;48939;46593;POP;32.4462875;M
2007;ES615;_T;48937;46593;POP;3.1300025;M
2007;ES615;_T;48946;46593;POP;180.43435;M
2007;ES616;M;48952;46593;POP;267.00607;M
2007;ES616;M;48940;46593;POP;172.61747;M
2007;ES616;M;48936;46593;POP;157.424915;M
2007;ES616;M;48934;46593;POP;7.5200825;M
2007;ES616;M;48939;46593;POP;15.192555;M
2007;ES616;M;48937;46593;POP;1.8290275;M
2007;ES616;M;48946;46593;POP;94.3886;M
2007;ES616;F;48952;46593;POP;274.114485;M
2007;ES616;F;48940;46593;POP;101.8591175;M
2007;ES616;F;48936;46593;POP;81.168555;M
2007;ES616;F;48934;46593;POP;5.6749975;M
2007;ES616;F;48939;46593;POP;20.6905625;M
2007;ES616;F;48937;46593;POP;1.9444975;M
2007;ES616;F;48946;46593;POP;172.2553675;M
2007;ES616;_T;48952;46593;POP;541.120555;M
2007;ES616;_T;48940;46593;POP;274.4765875;M
2007;ES616;_T;48936;46593;POP;238.59347;M
2007;ES616;_T;48934;46593;POP;13.19508;M
2007;ES616;_T;48939;46593;POP;35.8831175;M
2007;ES616;_T;48937;46593;POP;3.773525;M
2007;ES616;_T;48946;46593;POP;266.6439675;M
2007;ES617;M;48952;46593;POP;609.9778775;M
2007;ES617;M;48940;46593;POP;415.44353;M
2007;ES617;M;48936;46593;POP;377.2130625;M
2007;ES617;M;48934;46593;POP;28.385895;M
2007;ES617;M;48939;46593;POP;38.2304675;M
2007;ES617;M;48937;46593;POP;1.9047075;M
2007;ES617;M;48946;46593;POP;194.5343475;M
2007;ES617;F;48952;46593;POP;632.92569;M
2007;ES617;F;48940;46593;POP;297.4636825;M
2007;ES617;F;48936;46593;POP;258.40423;M
2007;ES617;F;48934;46593;POP;30.1206425;M
2007;ES617;F;48939;46593;POP;39.0594525;M
2007;ES617;F;48937;46593;POP;3.76313;M
2007;ES617;F;48946;46593;POP;335.4620075;M
2007;ES617;_T;48952;46593;POP;1242.9035675;M
2007;ES617;_T;48940;46593;POP;712.9072125;M
2007;ES617;_T;48936;46593;POP;635.6172925;M
2007;ES617;_T;48934;46593;POP;58.5065375;M
2007;ES617;_T;48939;46593;POP;77.28992;M
2007;ES617;_T;48937;46593;POP;5.6678375;M
2007;ES617;_T;48946;46593;POP;529.996355;M
2007;ES618;M;48952;46593;POP;731.00792;M
2007;ES618;M;48940;46593;POP;507.1722475;M
2007;ES618;M;48936;46593;POP;459.82625;M
2007;ES618;M;48934;46593;POP;30.39464;M
2007;ES618;M;48939;46593;POP;47.3459975;M
