TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;6601;M;ES61;ASALARIADOS;197.8267775;M
2015;6601;F;ES61;ASALARIADOS;22.84122;M
2015;6601;_T;ES61;ASALARIADOS;220.6679975;M
2015;6667;M;ES61;ASALARIADOS;132.332505;M
2015;6667;F;ES61;ASALARIADOS;11.304095;M
2015;6667;_T;ES61;ASALARIADOS;143.6366;M
2015;6726;M;ES61;ASALARIADOS;198.5347275;M
2015;6726;F;ES61;ASALARIADOS;248.584685;M
2015;6726;_T;ES61;ASALARIADOS;447.1194125;M
2015;5989;M;ES61;ASALARIADOS;21.1544625;M
2015;5989;F;ES61;ASALARIADOS;1.5932525;M
2015;5989;_T;ES61;ASALARIADOS;22.747715;M
2015;6727;M;ES61;ASALARIADOS;1228.2779325;M
2015;6727;F;ES61;ASALARIADOS;1036.7172225;M
2015;6727;_T;ES61;ASALARIADOS;2264.995155;M
2016;6038;M;ES61;ASALARIADOS;33.53029;M
2016;6038;F;ES61;ASALARIADOS;14.91707;M
2016;6038;_T;ES61;ASALARIADOS;48.44736;M
2016;6203;M;ES61;ASALARIADOS;152.804325;M
2016;6203;F;ES61;ASALARIADOS;211.670655;M
2016;6203;_T;ES61;ASALARIADOS;364.47498;M
2016;6333;M;ES61;ASALARIADOS;128.929035;M
2016;6333;F;ES61;ASALARIADOS;86.534955;M
2016;6333;_T;ES61;ASALARIADOS;215.46399;M
2016;6375;M;ES61;ASALARIADOS;84.895405;M
2016;6375;F;ES61;ASALARIADOS;143.1675275;M
2016;6375;_T;ES61;ASALARIADOS;228.0629325;M
2016;6463;M;ES61;ASALARIADOS;246.01972;M
2016;6463;F;ES61;ASALARIADOS;305.23554;M
2016;6463;_T;ES61;ASALARIADOS;551.25526;M
2016;6489;M;ES61;ASALARIADOS;23.276855;M
2016;6489;F;ES61;ASALARIADOS;2.0915925;M
2016;6489;_T;ES61;ASALARIADOS;25.3684475;M
2016;6601;M;ES61;ASALARIADOS;229.3805425;M
2016;6601;F;ES61;ASALARIADOS;22.1393125;M
2016;6601;_T;ES61;ASALARIADOS;251.519855;M
2016;6667;M;ES61;ASALARIADOS;128.38131;M
2016;6667;F;ES61;ASALARIADOS;11.2695175;M
2016;6667;_T;ES61;ASALARIADOS;139.6508275;M
2016;6726;M;ES61;ASALARIADOS;218.2512225;M
2016;6726;F;ES61;ASALARIADOS;254.7336275;M
2016;6726;_T;ES61;ASALARIADOS;472.98485;M
2016;5989;M;ES61;ASALARIADOS;19.9924;M
2016;5989;F;ES61;ASALARIADOS;0.9605975;M
2016;5989;_T;ES61;ASALARIADOS;20.9529975;M
2016;6727;M;ES61;ASALARIADOS;1265.461105;M
2016;6727;F;ES61;ASALARIADOS;1052.720395;M
2016;6727;_T;ES61;ASALARIADOS;2318.1815;M
2017;6038;M;ES61;ASALARIADOS;36.775675;M
2017;6038;F;ES61;ASALARIADOS;18.9699625;M
2017;6038;_T;ES61;ASALARIADOS;55.7456375;M
2017;6203;M;ES61;ASALARIADOS;165.3436575;M
2017;6203;F;ES61;ASALARIADOS;218.0523;M
2017;6203;_T;ES61;ASALARIADOS;383.3959575;M
2017;6333;M;ES61;ASALARIADOS;136.1130725;M
2017;6333;F;ES61;ASALARIADOS;77.3513975;M
2017;6333;_T;ES61;ASALARIADOS;213.46447;M
2017;6375;M;ES61;ASALARIADOS;86.1944325;M
2017;6375;F;ES61;ASALARIADOS;147.64181;M
2017;6375;_T;ES61;ASALARIADOS;233.8362425;M
2017;6463;M;ES61;ASALARIADOS;245.221925;M
2017;6463;F;ES61;ASALARIADOS;324.599375;M
2017;6463;_T;ES61;ASALARIADOS;569.8213;M
