TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;Y45-64;47512;ES61;INACTIVOS;98.5432475;M
2007;M;Y45-64;47517;ES61;INACTIVOS;23.5904;M
2007;M;Y45-64;47513;ES61;INACTIVOS;61.3086775;M
2007;M;Y45-64;47514;ES61;INACTIVOS;22.58798;M
2007;M;Y45-64;47520;ES61;INACTIVOS;18.6343275;M
2007;M;Y45-64;47522;ES61;INACTIVOS;5.6050725;M
2007;M;Y45-64;47523;ES61;INACTIVOS;231.7006425;M
2007;M;Y65-100;47511;ES61;INACTIVOS;0.1395525;M
2007;M;Y65-100;47512;ES61;INACTIVOS;454.552765;M
2007;M;Y65-100;47517;ES61;INACTIVOS;1.6402675;M
2007;M;Y65-100;47513;ES61;INACTIVOS;10.4572075;M
2007;M;Y65-100;47514;ES61;INACTIVOS;8.10212;M
2007;M;Y65-100;47520;ES61;INACTIVOS;0.38388;M
2007;M;Y65-100;47522;ES61;INACTIVOS;0.383205;M
2007;M;Y65-100;47523;ES61;INACTIVOS;475.6589975;M
2007;M;TOTAL;47511;ES61;INACTIVOS;208.72807;M
2007;M;TOTAL;47512;ES61;INACTIVOS;556.703365;M
2007;M;TOTAL;47517;ES61;INACTIVOS;59.0267375;M
2007;M;TOTAL;47513;ES61;INACTIVOS;101.7779875;M
2007;M;TOTAL;47514;ES61;INACTIVOS;41.1181475;M
2007;M;TOTAL;47520;ES61;INACTIVOS;49.9723925;M
2007;M;TOTAL;47522;ES61;INACTIVOS;17.9471125;M
2007;M;TOTAL;47523;ES61;INACTIVOS;1035.2738125;M
2007;F;Y15-29;47511;ES61;INACTIVOS;197.400475;M
2007;F;Y15-29;47512;ES61;INACTIVOS;0.2048225;M
2007;F;Y15-29;47517;ES61;INACTIVOS;32.54957;M
2007;F;Y15-29;47513;ES61;INACTIVOS;3.043005;M
2007;F;Y15-29;47514;ES61;INACTIVOS;1.6078475;M
2007;F;Y15-29;47520;ES61;INACTIVOS;4.74399;M
2007;F;Y15-29;47522;ES61;INACTIVOS;2.2288675;M
2007;F;Y15-29;47523;ES61;INACTIVOS;241.7785775;M
2007;F;Y30-44;47511;ES61;INACTIVOS;36.721095;M
2007;F;Y30-44;47512;ES61;INACTIVOS;0.77942;M
2007;F;Y30-44;47517;ES61;INACTIVOS;328.612725;M
2007;F;Y30-44;47513;ES61;INACTIVOS;17.8567925;M
2007;F;Y30-44;47514;ES61;INACTIVOS;13.17281;M
2007;F;Y30-44;47520;ES61;INACTIVOS;5.9091125;M
2007;F;Y30-44;47522;ES61;INACTIVOS;3.7138225;M
2007;F;Y30-44;47523;ES61;INACTIVOS;406.7657775;M
2007;F;Y45-64;47511;ES61;INACTIVOS;13.7761925;M
2007;F;Y45-64;47512;ES61;INACTIVOS;31.6780725;M
2007;F;Y45-64;47517;ES61;INACTIVOS;386.101345;M
2007;F;Y45-64;47513;ES61;INACTIVOS;44.815185;M
2007;F;Y45-64;47514;ES61;INACTIVOS;58.6767825;M
2007;F;Y45-64;47520;ES61;INACTIVOS;2.922575;M
2007;F;Y45-64;47522;ES61;INACTIVOS;1.3384475;M
2007;F;Y45-64;47523;ES61;INACTIVOS;539.3086;M
2007;F;Y65-100;47511;ES61;INACTIVOS;6.762535;M
2007;F;Y65-100;47512;ES61;INACTIVOS;198.9354225;M
2007;F;Y65-100;47517;ES61;INACTIVOS;147.7949425;M
2007;F;Y65-100;47513;ES61;INACTIVOS;59.9615275;M
2007;F;Y65-100;47514;ES61;INACTIVOS;229.3573575;M
2007;F;Y65-100;47520;ES61;INACTIVOS;4.0645575;M
2007;F;Y65-100;47522;ES61;INACTIVOS;0.15451;M
2007;F;Y65-100;47523;ES61;INACTIVOS;647.0308525;M
2007;F;TOTAL;47511;ES61;INACTIVOS;254.6602975;M
2007;F;TOTAL;47512;ES61;INACTIVOS;231.5977375;M
2007;F;TOTAL;47517;ES61;INACTIVOS;895.0585825;M
2007;F;TOTAL;47513;ES61;INACTIVOS;125.67651;M
2007;F;TOTAL;47514;ES61;INACTIVOS;302.8147975;M
2007;F;TOTAL;47520;ES61;INACTIVOS;17.640235;M
2007;F;TOTAL;47522;ES61;INACTIVOS;7.4356475;M
2007;F;TOTAL;47523;ES61;INACTIVOS;1834.8838075;M
2007;_T;Y15-29;47511;ES61;INACTIVOS;376.1861125;M
2007;_T;Y15-29;47512;ES61;INACTIVOS;0.2793425;M
2007;_T;Y15-29;47517;ES61;INACTIVOS;40.06139;M
2007;_T;Y15-29;47513;ES61;INACTIVOS;6.53032;M
2007;_T;Y15-29;47514;ES61;INACTIVOS;2.827605;M
2007;_T;Y15-29;47520;ES61;INACTIVOS;15.6196625;M
2007;_T;Y15-29;47522;ES61;INACTIVOS;6.367565;M
2007;_T;Y15-29;47523;ES61;INACTIVOS;447.8719975;M
2007;_T;Y30-44;47511;ES61;INACTIVOS;65.0930375;M
2007;_T;Y30-44;47512;ES61;INACTIVOS;4.3122525;M
2007;_T;Y30-44;47517;ES61;INACTIVOS;354.896975;M
