TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;M;46925;TOTAL;ES61;ACTIVOS;2029.613805;M
2009;M;46943;Y15-29;ES61;ACTIVOS;60.867965;M
2009;M;46943;Y30-44;ES61;ACTIVOS;115.87549;M
2009;M;46943;Y45-64;ES61;ACTIVOS;41.6509425;M
2009;M;46943;Y65-100;ES61;ACTIVOS;0.764235;M
2009;M;46943;TOTAL;ES61;ACTIVOS;219.1586325;M
2009;M;46944;Y15-29;ES61;ACTIVOS;531.53174;M
2009;M;46944;Y30-44;ES61;ACTIVOS;975.9175325;M
2009;M;46944;Y45-64;ES61;ACTIVOS;729.757755;M
2009;M;46944;Y65-100;ES61;ACTIVOS;11.56541;M
2009;M;46944;TOTAL;ES61;ACTIVOS;2248.7724375;M
2009;F;46925;Y15-29;ES61;ACTIVOS;394.5543725;M
2009;F;46925;Y30-44;ES61;ACTIVOS;661.38515;M
2009;F;46925;Y45-64;ES61;ACTIVOS;419.965555;M
2009;F;46925;Y65-100;ES61;ACTIVOS;7.6513525;M
2009;F;46925;TOTAL;ES61;ACTIVOS;1483.55643;M
2009;F;46943;Y15-29;ES61;ACTIVOS;54.900395;M
2009;F;46943;Y30-44;ES61;ACTIVOS;99.95281;M
2009;F;46943;Y45-64;ES61;ACTIVOS;33.64247;M
2009;F;46943;Y65-100;ES61;ACTIVOS;1.5270975;M
2009;F;46943;TOTAL;ES61;ACTIVOS;190.0227725;M
2009;F;46944;Y15-29;ES61;ACTIVOS;449.4547675;M
2009;F;46944;Y30-44;ES61;ACTIVOS;761.33796;M
2009;F;46944;Y45-64;ES61;ACTIVOS;453.608025;M
2009;F;46944;Y65-100;ES61;ACTIVOS;9.17845;M
2009;F;46944;TOTAL;ES61;ACTIVOS;1673.5792025;M
2009;_T;46925;Y15-29;ES61;ACTIVOS;865.2181475;M
2009;_T;46925;Y30-44;ES61;ACTIVOS;1521.4271925;M
2009;_T;46925;Y45-64;ES61;ACTIVOS;1108.0723675;M
2009;_T;46925;Y65-100;ES61;ACTIVOS;18.4525275;M
2009;_T;46925;TOTAL;ES61;ACTIVOS;3513.170235;M
2009;_T;46943;Y15-29;ES61;ACTIVOS;115.76836;M
