ID;NAME;DESCRIPTION;PARENTCODE;ORDER
2528;(18044) Cástaras;Cástaras;ES614;297
2529;(18045) Castilléjar;Castilléjar;ES614;298
2530;(18046) Castril;Castril;ES614;299
2531;(18047) Cenes de la Vega;Cenes de la Vega;ES614;300
2543;(18058) Charches;Charches;ES614;301
2544;(18059) Chauchina;Chauchina;ES614;302
2545;(18060) Cherín;Cherín;ES614;303
2546;(18061) Chimeneas;Chimeneas;ES614;304
2687;(18505) Chite y Talará;Chite y Talará;ES614;305
2548;(18062) Churriana;Churriana;ES614;306
2532;(18048) Cijuela;Cijuela;ES614;308
2533;(18049) Cogollos de Guadix;Cogollos de Guadix;ES614;309
2534;(18050) Cogollos de la Vega;Cogollos de la Vega;ES614;310
2686;(18504) Cojáyar;Cojáyar;ES614;311
2535;(18051) Colomera;Colomera;ES614;312
2536;(18052) Cónchar;Cónchar;ES614;313
2537;(18053) Cortes de Baza;Cortes de Baza;ES614;314
2538;(18054) Cortes y Graena;Cortes y Graena;ES614;315
2539;(18055) Cozvíjar;Cozvíjar;ES614;316
2707;(18912) Cuevas del Campo;Cuevas del Campo;ES614;317
2540;(18056) Cúllar-Baza;Cúllar-Baza;ES614;318
2542;(18057) Cúllar Vega;Cúllar Vega;ES614;320
2549;(18063) Darro;Darro;ES614;321
2550;(18064) Dehesas de Guadix;Dehesas de Guadix;ES614;322
2551;(18065) Dehesas Viejas;Dehesas Viejas;ES614;323
2553;(18066) Deifontes;Deifontes;ES614;325
2554;(18067) Diezma;Diezma;ES614;326
2555;(18068) Dílar;Dílar;ES614;327
2556;(18069) Dólar;Dólar;ES614;328
9565;(18915) Domingo Pérez de Granada;Domingo Pérez de Granada;ES614;329
2557;(18070) Dúdar;Dúdar;ES614;330
2558;(18071) Dúrcal;Dúrcal;ES614;331
2559;(18072) Escúzar;Escúzar;ES614;332
2560;(18073) Esfiliana;Esfiliana;ES614;333
2561;(18074) Ferreira;Ferreira;ES614;334
2562;(18075) Ferreirola;Ferreirola;ES614;335
2563;(18076) Fonelas;Fonelas;ES614;336
2564;(18077) Fornes;Fornes;ES614;337
2688;(18506) Fregenite;Fregenite;ES614;339
2565;(18078) Freila;Freila;ES614;340
2566;(18079) Fuente Vaqueros;Fuente Vaqueros;ES614;341
2567;(18080) Gabia la Chica;Gabia la Chica;ES614;342
2568;(18081) Gabia la Grande;Gabia la Grande;ES614;343
2700;(18905) Gabias (Las);Gabias (Las);ES614;344
2569;(18082) Galera;Galera;ES614;345
2570;(18083) Gobernador;Gobernador;ES614;346
2571;(18084) Gójar;Gójar;ES614;347
2572;(18085) Gor;Gor;ES614;348
2573;(18086) Gorafe;Gorafe;ES614;349
2574;(18087) Granada (capital);Granada (capital);ES614;350
2575;(18088) Guadahortuna;Guadahortuna;ES614;351
2576;(18089) Guadix;Guadix;ES614;352
2701;(18906) Guájares (Los);Guájares (Los);ES614;353
2580;(18093) Gualchos;Gualchos;ES614;354
2581;(18094) Güéjar Sierra;Güéjar Sierra;ES614;355
2582;(18095) Güevéjar;Güevéjar;ES614;356
2577;(18090) Guájar Alto;Guájar Alto;ES614;357
2578;(18091) Guájar Faragüit;Guájar Faragüit;ES614;358
2579;(18092) Guájar Fondón;Guájar Fondón;ES614;359
2583;(18096) Huélago;Huélago;ES614;360
2584;(18097) Huéneja;Huéneja;ES614;361
2585;(18098) Huéscar;Huéscar;ES614;362
2586;(18099) Huétor de Santillán;Huétor de Santillán;ES614;363
2587;(18100) Huétor Tájar;Huétor Tájar;ES614;364
2588;(18101) Huétor Vega;Huétor Vega;ES614;365
2589;(18102) Íllora;Íllora;ES614;366
2590;(18103) Ítrabo;Ítrabo;ES614;367
2591;(18104) Izbor;Izbor;ES614;368
2592;(18105) Iznalloz;Iznalloz;ES614;369
2593;(18106) Játar;Játar;ES614;370
2594;(18107) Jayena;Jayena;ES614;372
2595;(18108) Jérez del Marquesado;Jérez del Marquesado;ES614;373
2596;(18109) Jete;Jete;ES614;374
2597;(18110) Jorairátar;Jorairátar;ES614;375
2598;(18111) Jun;Jun;ES614;376
2599;(18112) Juviles;Juviles;ES614;377
2600;(18113) Laborcillas;Laborcillas;ES614;378
2603;(18115) Láchar;Láchar;ES614;379
2604;(18116) Lanjarón;Lanjarón;ES614;380
2605;(18117) Lanteira;Lanteira;ES614;381
2606;(18118) Laroles;Laroles;ES614;382
2607;(18119) Lecrín;Lecrín;ES614;383
2608;(18120) Lentegí;Lentegí;ES614;384
2609;(18121) Lobras;Lobras;ES614;385
2610;(18122) Loja;Loja;ES614;386
2611;(18123) Lugros;Lugros;ES614;387
2612;(18124) Lújar;Lújar;ES614;388
2613;(18125) Mairena;Mairena;ES614;389
2614;(18126) Malá (La);Malá (La);ES614;390
2616;(18127) Maracena;Maracena;ES614;392
2617;(18128) Marchal;Marchal;ES614;393
2689;(18507) Mecina-Alfahar;Mecina-Alfahar;ES614;394
2618;(18129) Mecina-Bombarón;Mecina-Bombarón;ES614;395
2619;(18130) Mecina-Fondales;Mecina-Fondales;ES614;396
2690;(18508) Mecina-Tedel;Mecina-Tedel;ES614;397
2620;(18131) Melegís;Melegís;ES614;398
2621;(18132) Moclín;Moclín;ES614;399
2622;(18133) Molvízar;Molvízar;ES614;400
2623;(18134) Monachil;Monachil;ES614;401
2691;(18509) Mondújar;Mondújar;ES614;402
2624;(18135) Montefrío;Montefrío;ES614;403
2625;(18136) Montejícar;Montejícar;ES614;404
2626;(18137) Montillana;Montillana;ES614;405
2627;(18138) Moraleda de Zafayona;Moraleda de Zafayona;ES614;406
2628;(18139) Moreda;Moreda;ES614;407
2704;(18909) Morelábor;Morelábor;ES614;408
2629;(18140) Motril;Motril;ES614;409
2692;(18510) Murchas;Murchas;ES614;410
2630;(18141) Murtas;Murtas;ES614;411
2631;(18142) Narila;Narila;ES614;412
2693;(18511) Nechite;Nechite;ES614;413
2698;(18903) Nevada;Nevada;ES614;414
2632;(18143) Nigüelas;Nigüelas;ES614;415
